epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57835,1.69865,3.68493,1.28909,0.65689,0.78903,0.8129,0.31394,1.70057,3.21535,1.4824,0.000660714,0.000660714,0.000660714
2,15.8028,1.73232,2.55289,1.37901,0.58547,0.70588,0.57261,0.19852,1.80366,2.25799,1.63833,0.00131424,0.00131424,0.00131424
3,22.6398,1.7436,1.91093,1.38999,0.60429,0.62953,0.63858,0.30019,1.8384,1.52358,1.66114,0.00195457,0.00195457,0.00195457
4,29.4481,1.75123,1.75066,1.41561,0.62841,0.47059,0.48718,0.15788,2.17875,3.87229,1.75554,0.0019406,0.0019406,0.0019406
5,36.4566,1.68589,1.66703,1.37321,0.48674,0.44719,0.46316,0.22567,1.84619,1.6746,1.58348,0.0019208,0.0019208,0.0019208
6,43.2133,1.6961,1.57419,1.38666,0.75739,0.73544,0.85777,0.40136,1.61515,1.43693,1.42625,0.001901,0.001901,0.001901
7,49.8983,1.63005,1.45233,1.37647,0.5668,0.69318,0.67635,0.33238,1.617,1.42793,1.48057,0.0018812,0.0018812,0.0018812
8,56.5669,1.61524,1.51293,1.35189,0.48478,0.70588,0.62541,0.22777,1.83775,1.98636,1.57618,0.0018614,0.0018614,0.0018614
9,63.2543,1.66381,1.42684,1.35894,0.72919,0.88235,0.8798,0.34498,1.90112,1.66851,1.62934,0.0018416,0.0018416,0.0018416
10,69.9725,1.61419,1.37712,1.34632,0.46675,0.76471,0.68157,0.32554,1.73466,1.35718,1.54636,0.0018218,0.0018218,0.0018218
11,76.6697,1.60036,1.30555,1.31647,0.53614,0.64706,0.5034,0.2595,1.86428,1.47497,1.51131,0.001802,0.001802,0.001802
12,83.3992,1.55657,1.28378,1.30909,0.60735,0.88235,0.76717,0.34831,1.95364,1.34938,1.63221,0.0017822,0.0017822,0.0017822
13,90.0776,1.54681,1.2873,1.29304,0.59168,0.88235,0.79491,0.40387,1.51521,1.09652,1.35034,0.0017624,0.0017624,0.0017624
14,96.8222,1.48673,1.21348,1.27573,0.82706,0.84473,0.84156,0.35337,1.70533,1.37012,1.50315,0.0017426,0.0017426,0.0017426
15,103.54,1.58777,1.27019,1.30265,0.75734,0.70588,0.8218,0.30967,1.66881,1.49995,1.51888,0.0017228,0.0017228,0.0017228
16,110.284,1.50645,1.1697,1.28554,0.65132,0.64706,0.77122,0.4039,1.68055,1.05965,1.39969,0.001703,0.001703,0.001703
17,117.022,1.53526,1.16907,1.29482,0.78327,0.88235,0.82799,0.44993,1.65616,1.13215,1.39024,0.0016832,0.0016832,0.0016832
18,123.843,1.51019,1.13233,1.26817,0.75734,0.94118,0.87411,0.39547,1.62566,1.08035,1.40648,0.0016634,0.0016634,0.0016634
19,130.533,1.51213,1.21593,1.29045,0.84113,0.82353,0.89839,0.51064,1.51086,1.09996,1.27246,0.0016436,0.0016436,0.0016436
20,137.42,1.438,1.13443,1.24326,0.83266,0.87831,0.84173,0.41241,1.56698,1.17825,1.42108,0.0016238,0.0016238,0.0016238
21,144.125,1.43575,1.07935,1.24597,0.67068,0.88235,0.76738,0.46858,1.5793,1.17415,1.36415,0.001604,0.001604,0.001604
22,150.964,1.55934,1.20172,1.30491,0.79024,0.82353,0.86038,0.45173,1.8122,1.23264,1.47708,0.0015842,0.0015842,0.0015842
23,157.648,1.47053,1.16425,1.26846,0.71336,0.87853,0.86152,0.4079,1.38958,1.29549,1.30056,0.0015644,0.0015644,0.0015644
24,164.378,1.49216,1.09639,1.265,1,0.81512,0.93583,0.5507,1.51094,1.00709,1.32287,0.0015446,0.0015446,0.0015446
25,171.062,1.42777,1.09127,1.24388,0.67712,0.70588,0.76851,0.48796,1.35082,1.12333,1.20756,0.0015248,0.0015248,0.0015248
26,177.978,1.43024,1.0886,1.24438,0.86674,0.76525,0.93029,0.45729,1.69685,1.06542,1.43647,0.001505,0.001505,0.001505
27,184.615,1.42879,1.07431,1.25456,0.75117,0.82353,0.84608,0.43171,1.7798,1.16824,1.46515,0.0014852,0.0014852,0.0014852
28,191.533,1.43969,1.0417,1.25388,0.63743,0.82353,0.78128,0.43439,1.50324,1.24394,1.31001,0.0014654,0.0014654,0.0014654
29,198.618,1.39023,1.03991,1.21957,0.75588,0.91139,0.90026,0.50526,1.42873,0.9013,1.22914,0.0014456,0.0014456,0.0014456
30,205.595,1.39164,1.02853,1.2243,0.70731,0.82353,0.8364,0.42925,1.50608,1.02371,1.31214,0.0014258,0.0014258,0.0014258
