epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9403,1.60836,3.53753,1.2606,0.60567,0.5814,0.59778,0.28126,1.69348,2.91162,1.36122,0.000663121,0.000663121,0.000663121
2,29.5498,1.70646,2.1083,1.37041,0.47862,0.44315,0.43855,0.17634,1.91807,3.25984,1.71641,0.00131662,0.00131662,0.00131662
3,43.1578,1.76494,1.78292,1.4359,0.59356,0.4832,0.49452,0.22659,1.68773,1.80218,1.42949,0.00195692,0.00195692,0.00195692
4,56.1893,1.76191,1.63739,1.40868,0.63828,0.5491,0.59759,0.28269,1.79125,1.5721,1.50811,0.0019406,0.0019406,0.0019406
5,69.4448,1.70438,1.61432,1.3824,0.61922,0.59561,0.61161,0.28151,1.80554,1.54653,1.47851,0.0019208,0.0019208,0.0019208
6,82.3813,1.62421,1.49662,1.33703,0.67315,0.65375,0.6887,0.38287,1.47078,1.34696,1.2806,0.001901,0.001901,0.001901
7,95.4303,1.63655,1.40601,1.33854,0.6231,0.62016,0.63837,0.32112,1.6245,1.34939,1.40228,0.0018812,0.0018812,0.0018812
8,108.524,1.57527,1.32099,1.32506,0.66922,0.60465,0.68357,0.36586,1.5535,1.34693,1.36816,0.0018614,0.0018614,0.0018614
9,121.578,1.57377,1.34093,1.33006,0.66019,0.6476,0.66889,0.33013,1.58303,1.43302,1.37497,0.0018416,0.0018416,0.0018416
10,134.821,1.52546,1.37718,1.28715,0.70017,0.71806,0.74917,0.39901,1.56268,1.19527,1.33603,0.0018218,0.0018218,0.0018218
11,147.704,1.57331,1.28645,1.31073,0.74687,0.68237,0.7553,0.41861,1.53463,1.16127,1.34047,0.001802,0.001802,0.001802
12,160.507,1.50074,1.26413,1.27007,0.73573,0.7194,0.77551,0.43329,1.48039,1.1457,1.29436,0.0017822,0.0017822,0.0017822
13,173.403,1.49871,1.18244,1.26923,0.69709,0.69251,0.69515,0.36208,1.493,1.38849,1.341,0.0017624,0.0017624,0.0017624
14,186.494,1.48908,1.15158,1.2615,0.7004,0.73256,0.75974,0.4067,1.52176,1.19823,1.3345,0.0017426,0.0017426,0.0017426
15,199.698,1.48182,1.10928,1.26396,0.72662,0.69509,0.7704,0.45206,1.42245,1.10812,1.28787,0.0017228,0.0017228,0.0017228
16,212.752,1.50049,1.17233,1.28742,0.78397,0.7033,0.80728,0.46437,1.42572,1.07783,1.25283,0.001703,0.001703,0.001703
17,225.951,1.44852,1.07964,1.23975,0.81492,0.74548,0.83313,0.4843,1.40227,0.97844,1.25556,0.0016832,0.0016832,0.0016832
18,238.995,1.42713,1.06296,1.23529,0.77609,0.73902,0.81911,0.50417,1.34663,1.02645,1.24789,0.0016634,0.0016634,0.0016634
19,252.06,1.41135,1.07786,1.22005,0.80489,0.69509,0.80152,0.48152,1.35984,1.02502,1.22215,0.0016436,0.0016436,0.0016436
20,265.122,1.43701,1.10578,1.21626,0.8046,0.74677,0.82734,0.4873,1.39034,0.99215,1.24018,0.0016238,0.0016238,0.0016238
21,278.238,1.35305,1.00815,1.18781,0.81505,0.73448,0.83646,0.49476,1.41871,0.96264,1.22508,0.001604,0.001604,0.001604
22,291.35,1.38109,0.94427,1.19895,0.8326,0.74677,0.84474,0.51517,1.35794,0.97069,1.21832,0.0015842,0.0015842,0.0015842
23,304.45,1.36716,1.03239,1.19485,0.84258,0.76758,0.86049,0.53427,1.32159,0.89809,1.19867,0.0015644,0.0015644,0.0015644
24,317.621,1.39233,1.02186,1.20646,0.76724,0.71189,0.77396,0.43674,1.45518,1.02887,1.30184,0.0015446,0.0015446,0.0015446
25,330.931,1.35898,0.95138,1.1951,0.83716,0.75718,0.8584,0.52244,1.35149,0.90849,1.22222,0.0015248,0.0015248,0.0015248
26,344.324,1.34155,0.96302,1.18211,0.78833,0.71835,0.79756,0.46686,1.38538,0.98778,1.25598,0.001505,0.001505,0.001505
27,357.613,1.37009,0.95773,1.21287,0.80166,0.79375,0.86763,0.5262,1.34365,0.92167,1.22773,0.0014852,0.0014852,0.0014852
28,370.657,1.33832,0.94115,1.18775,0.80114,0.73514,0.81885,0.47814,1.42812,0.98029,1.26903,0.0014654,0.0014654,0.0014654
29,383.637,1.32726,0.91482,1.1676,0.87096,0.80103,0.88008,0.56043,1.28162,0.81329,1.18311,0.0014456,0.0014456,0.0014456
30,396.701,1.28999,0.89756,1.16224,0.86948,0.75969,0.874,0.55652,1.27432,0.82974,1.1808,0.0014258,0.0014258,0.0014258
31,409.84,1.32633,0.92813,1.17775,0.83545,0.78811,0.87836,0.52374,1.38236,0.86135,1.22633,0.001406,0.001406,0.001406
32,423.097,1.32581,0.92646,1.16147,0.82752,0.78106,0.86792,0.55224,1.29595,0.88199,1.1966,0.0013862,0.0013862,0.0013862
33,436.251,1.31751,0.88828,1.16088,0.84503,0.73973,0.8483,0.52265,1.3649,0.88929,1.25481,0.0013664,0.0013664,0.0013664
34,449.444,1.2707,0.88335,1.16202,0.85887,0.77907,0.88245,0.56919,1.26944,0.8198,1.18884,0.0013466,0.0013466,0.0013466
35,462.431,1.24973,0.84035,1.14038,0.77704,0.77261,0.8299,0.48268,1.42652,0.9523,1.2811,0.0013268,0.0013268,0.0013268
36,475.494,1.26055,0.85509,1.13603,0.84859,0.77778,0.87201,0.5211,1.38154,0.89442,1.25666,0.001307,0.001307,0.001307
37,489.042,1.30061,0.86417,1.15993,0.90433,0.7739,0.89182,0.5621,1.30137,0.81099,1.18558,0.0012872,0.0012872,0.0012872
38,502.435,1.25625,0.81636,1.13394,0.90497,0.80749,0.90881,0.58641,1.24318,0.75639,1.15242,0.0012674,0.0012674,0.0012674
39,515.689,1.28228,0.85911,1.14726,0.89294,0.79845,0.89953,0.56742,1.27151,0.78983,1.1767,0.0012476,0.0012476,0.0012476
40,529.112,1.25971,0.86639,1.15457,0.883,0.81266,0.90476,0.57743,1.26535,0.76448,1.16412,0.0012278,0.0012278,0.0012278
41,542.409,1.25295,0.81768,1.12224,0.87339,0.81783,0.90204,0.59428,1.22773,0.76668,1.14171,0.001208,0.001208,0.001208
42,555.644,1.23651,0.79619,1.12401,0.86303,0.82222,0.90009,0.58373,1.27,0.76682,1.18009,0.0011882,0.0011882,0.0011882
43,568.84,1.21847,0.80491,1.11742,0.87586,0.82951,0.91094,0.60517,1.21979,0.73737,1.15671,0.0011684,0.0011684,0.0011684
44,581.968,1.23143,0.79743,1.12602,0.87331,0.82828,0.91096,0.59641,1.21743,0.74151,1.14957,0.0011486,0.0011486,0.0011486
45,595.011,1.21048,0.77813,1.10825,0.89551,0.82817,0.9088,0.58715,1.25713,0.74317,1.1581,0.0011288,0.0011288,0.0011288
46,608.161,1.20581,0.77134,1.11343,0.92611,0.83463,0.92273,0.62013,1.18227,0.71364,1.11644,0.001109,0.001109,0.001109
47,621.149,1.23088,0.78647,1.12478,0.89399,0.83892,0.91719,0.60623,1.18564,0.70613,1.13074,0.0010892,0.0010892,0.0010892
48,634.143,1.21313,0.7676,1.12162,0.90346,0.83428,0.92504,0.59916,1.20572,0.7005,1.14407,0.0010694,0.0010694,0.0010694
49,647.221,1.20071,0.78195,1.1049,0.87497,0.84989,0.91592,0.60404,1.21173,0.7144,1.13599,0.0010496,0.0010496,0.0010496
50,660.319,1.1936,0.77822,1.09494,0.91754,0.81947,0.91299,0.61132,1.19038,0.7238,1.12236,0.0010298,0.0010298,0.0010298
51,673.375,1.19354,0.77999,1.1036,0.85616,0.8382,0.90615,0.58818,1.25382,0.73421,1.15662,0.00101,0.00101,0.00101
52,686.33,1.19067,0.73569,1.10109,0.87686,0.85917,0.9233,0.60741,1.22107,0.69741,1.13756,0.0009902,0.0009902,0.0009902
53,699.365,1.15076,0.71595,1.07803,0.92142,0.83318,0.93516,0.62216,1.20929,0.66848,1.11806,0.0009704,0.0009704,0.0009704
54,712.393,1.14979,0.73291,1.08147,0.92454,0.82687,0.92295,0.61444,1.22128,0.67676,1.13741,0.0009506,0.0009506,0.0009506
55,725.384,1.18737,0.75099,1.0942,0.89365,0.8577,0.93275,0.63467,1.15785,0.66218,1.0973,0.0009308,0.0009308,0.0009308
56,738.452,1.15074,0.72079,1.07252,0.89074,0.85142,0.91769,0.59902,1.22876,0.699,1.13881,0.000911,0.000911,0.000911
