epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2698,1.53783,3.97939,1.22822,0.58618,0.57881,0.58535,0.29653,1.47693,2.67409,1.25612,0.0033156,0.0033156,0.0033156
2,29.7404,1.57747,2.35992,1.26727,0.54203,0.56718,0.53112,0.25268,1.59408,1.81091,1.40651,0.00664071,0.00664071,0.00664071
3,43.1715,1.71245,1.95309,1.37789,0.38238,0.40439,0.30009,0.1337,1.92277,2.347,1.68225,0.00995756,0.00995756,0.00995756
4,56.2502,1.85248,1.92537,1.45195,0.51182,0.48062,0.46906,0.23035,1.73076,2.16857,1.47259,0.00996287,0.00996287,0.00996287
5,69.5091,1.76857,1.78375,1.43005,0.53165,0.50904,0.50567,0.23362,1.78584,1.85306,1.50995,0.0099505,0.0099505,0.0099505
6,82.6646,1.7499,1.6604,1.41189,0.63733,0.63178,0.62629,0.32658,1.59422,1.50809,1.43783,0.00993813,0.00993813,0.00993813
7,95.7125,1.7188,1.57195,1.40964,0.63034,0.58269,0.59314,0.30501,1.60292,1.59547,1.45519,0.00992575,0.00992575,0.00992575
8,108.728,1.67724,1.50067,1.39433,0.6383,0.59819,0.60495,0.3085,1.6719,1.58261,1.46957,0.00991338,0.00991338,0.00991338
9,121.805,1.67955,1.48409,1.39331,0.62432,0.61757,0.61708,0.29779,1.58831,1.62584,1.3928,0.009901,0.009901,0.009901
10,134.65,1.66524,1.55339,1.38257,0.69593,0.59173,0.66096,0.34508,1.60678,1.42028,1.43466,0.00988862,0.00988862,0.00988862
11,147.807,1.69026,1.43284,1.40442,0.68074,0.65839,0.69986,0.36003,1.65698,1.35843,1.4496,0.00987625,0.00987625,0.00987625
12,160.991,1.62825,1.35709,1.36091,0.73416,0.63695,0.70195,0.37341,1.55506,1.30433,1.39311,0.00986387,0.00986387,0.00986387
13,174.023,1.62246,1.35672,1.36983,0.67904,0.66694,0.70388,0.38609,1.55638,1.30964,1.4182,0.0098515,0.0098515,0.0098515
14,187.19,1.59655,1.28301,1.35429,0.68885,0.63499,0.67789,0.35266,1.58292,1.36477,1.4055,0.00983913,0.00983913,0.00983913
15,200.735,1.57962,1.26088,1.34972,0.7203,0.70543,0.74721,0.40234,1.56269,1.21502,1.38468,0.00982675,0.00982675,0.00982675
16,213.859,1.59258,1.31022,1.36639,0.7601,0.72047,0.78776,0.43919,1.47872,1.13186,1.34095,0.00981438,0.00981438,0.00981438
17,227.177,1.52547,1.22423,1.31303,0.76745,0.69767,0.76328,0.42051,1.51743,1.20436,1.40774,0.009802,0.009802,0.009802
18,240.724,1.52524,1.19021,1.31091,0.7869,0.69655,0.78417,0.45437,1.42151,1.14264,1.31439,0.00978962,0.00978962,0.00978962
19,254.041,1.50843,1.18499,1.2911,0.70805,0.73323,0.75255,0.42086,1.42509,1.16746,1.29712,0.00977725,0.00977725,0.00977725
20,266.813,1.53551,1.23244,1.29574,0.79507,0.70174,0.81884,0.4693,1.43385,1.09904,1.30617,0.00976487,0.00976487,0.00976487
21,279.738,1.45342,1.12919,1.2733,0.79654,0.75323,0.79893,0.46273,1.40067,1.05475,1.29681,0.0097525,0.0097525,0.0097525
22,293.01,1.48214,1.11382,1.2853,0.78463,0.70801,0.80273,0.4543,1.46685,1.16112,1.32829,0.00974013,0.00974013,0.00974013
23,305.958,1.46638,1.19118,1.2855,0.80562,0.72093,0.81129,0.47416,1.38624,1.07678,1.29522,0.00972775,0.00972775,0.00972775
24,319.335,1.47877,1.14546,1.2978,0.76023,0.7416,0.78091,0.44761,1.41861,1.09787,1.3427,0.00971538,0.00971538,0.00971538
25,332.58,1.43133,1.0667,1.25656,0.79429,0.77324,0.82304,0.49684,1.40441,1.0185,1.27719,0.009703,0.009703,0.009703
26,345.782,1.45094,1.11722,1.26324,0.79642,0.77132,0.83137,0.49259,1.39136,1.05952,1.29463,0.00969063,0.00969063,0.00969063
27,359.091,1.44303,1.08214,1.26905,0.79254,0.75514,0.81828,0.48066,1.40393,1.04366,1.30108,0.00967825,0.00967825,0.00967825
28,372.102,1.43872,1.08114,1.27325,0.73307,0.7593,0.80241,0.47713,1.40068,1.05548,1.28681,0.00966588,0.00966588,0.00966588
29,385.414,1.42991,1.02584,1.24544,0.78176,0.77778,0.83237,0.49243,1.38493,0.98242,1.24229,0.0096535,0.0096535,0.0096535
30,398.463,1.40341,1.06032,1.24655,0.74781,0.74708,0.80681,0.48241,1.4138,1.03246,1.30649,0.00964113,0.00964113,0.00964113
31,411.293,1.41824,1.05165,1.2565,0.8252,0.79587,0.87177,0.51606,1.40884,0.91983,1.2644,0.00962875,0.00962875,0.00962875
32,424.178,1.42875,1.06642,1.23907,0.80904,0.72222,0.81689,0.48054,1.40643,1.0686,1.26884,0.00961637,0.00961637,0.00961637
33,437.379,1.39865,1.00137,1.2274,0.82645,0.75673,0.84925,0.51623,1.3906,0.95689,1.30008,0.009604,0.009604,0.009604
34,450.355,1.37445,1.00267,1.24378,0.74246,0.71189,0.78376,0.46934,1.36563,1.0907,1.2723,0.00959163,0.00959163,0.00959163
35,463.491,1.36497,0.97763,1.22062,0.84685,0.79301,0.87185,0.52541,1.37425,0.89703,1.28505,0.00957925,0.00957925,0.00957925
36,476.598,1.35337,0.96924,1.20877,0.78278,0.77907,0.83217,0.50474,1.33728,0.98355,1.26571,0.00956688,0.00956688,0.00956688
37,489.215,1.41318,0.97231,1.23546,0.80236,0.76098,0.83371,0.50507,1.35348,0.94506,1.25569,0.0095545,0.0095545,0.0095545
38,501.981,1.36585,0.97186,1.20589,0.83195,0.76753,0.84464,0.52399,1.31908,0.93941,1.23937,0.00954213,0.00954213,0.00954213
39,514.74,1.39678,0.97755,1.22738,0.82819,0.77649,0.86745,0.54086,1.32966,0.89723,1.21348,0.00952975,0.00952975,0.00952975
40,527.703,1.37479,0.99659,1.2179,0.82383,0.78542,0.86492,0.53321,1.30121,0.91194,1.19923,0.00951737,0.00951737,0.00951737
41,540.456,1.37246,0.9684,1.20569,0.83038,0.77797,0.87597,0.5377,1.35404,0.89738,1.2235,0.009505,0.009505,0.009505
42,553.029,1.34926,0.92712,1.1932,0.83953,0.77519,0.87145,0.53838,1.32731,0.89994,1.21952,0.00949263,0.00949263,0.00949263
43,565.697,1.3499,0.95561,1.19553,0.86304,0.76526,0.86631,0.5359,1.32894,0.882,1.22633,0.00948025,0.00948025,0.00948025
44,578.318,1.32791,0.92847,1.19958,0.79071,0.82171,0.87029,0.54315,1.29306,0.85448,1.22487,0.00946788,0.00946788,0.00946788
45,591.041,1.33193,0.93396,1.19388,0.84015,0.77415,0.87054,0.54117,1.30943,0.86191,1.21277,0.0094555,0.0094555,0.0094555
46,603.696,1.31957,0.90547,1.18724,0.8475,0.78262,0.86917,0.53042,1.3277,0.87431,1.24739,0.00944313,0.00944313,0.00944313
47,616.417,1.36225,0.91889,1.21709,0.86246,0.81827,0.88805,0.54836,1.30314,0.83571,1.23686,0.00943075,0.00943075,0.00943075
48,628.999,1.34793,0.9253,1.22117,0.87819,0.74419,0.87332,0.53793,1.29829,0.87789,1.21932,0.00941837,0.00941837,0.00941837
49,642.066,1.33425,0.90001,1.18254,0.86196,0.79974,0.88728,0.55447,1.26992,0.85289,1.17597,0.009406,0.009406,0.009406
50,654.967,1.32045,0.91716,1.18365,0.88146,0.77815,0.89922,0.57338,1.245,0.82219,1.1797,0.00939363,0.00939363,0.00939363
51,667.798,1.31224,0.91488,1.18018,0.83931,0.81655,0.89346,0.56897,1.29066,0.81761,1.20298,0.00938125,0.00938125,0.00938125
52,680.348,1.30528,0.86033,1.1777,0.87865,0.77642,0.87394,0.55871,1.27669,0.85798,1.19663,0.00936888,0.00936888,0.00936888
53,692.776,1.29577,0.87521,1.17414,0.8719,0.83721,0.91255,0.59557,1.25518,0.77962,1.17901,0.0093565,0.0093565,0.0093565
54,705.321,1.28564,0.8676,1.16583,0.88505,0.81783,0.89838,0.57071,1.25571,0.79619,1.17298,0.00934413,0.00934413,0.00934413
55,718.411,1.31744,0.88647,1.16904,0.89228,0.81339,0.91929,0.60278,1.22938,0.74726,1.15093,0.00933175,0.00933175,0.00933175
56,731.625,1.265,0.84399,1.15098,0.87263,0.84091,0.91845,0.59132,1.27329,0.77006,1.19086,0.00931937,0.00931937,0.00931937
57,745.034,1.31433,0.87607,1.17426,0.86655,0.81376,0.89646,0.55384,1.3268,0.80866,1.21423,0.009307,0.009307,0.009307
58,757.908,1.32749,0.85889,1.18137,0.85686,0.78887,0.89228,0.57291,1.26663,0.84956,1.1886,0.00929462,0.00929462,0.00929462
59,770.727,1.28185,0.84325,1.16563,0.85096,0.81008,0.89306,0.57944,1.24803,0.79873,1.17217,0.00928225,0.00928225,0.00928225
60,783.513,1.28205,0.8567,1.15736,0.84816,0.79974,0.87474,0.55187,1.2985,0.84237,1.18141,0.00926988,0.00926988,0.00926988
61,796.491,1.2959,0.8455,1.16561,0.86676,0.80233,0.89646,0.57194,1.26688,0.78859,1.18849,0.0092575,0.0092575,0.0092575
62,809.304,1.26407,0.82931,1.15847,0.87542,0.8443,0.91778,0.59107,1.23224,0.74111,1.16252,0.00924512,0.00924512,0.00924512
63,822.535,1.26662,0.84069,1.1457,0.87575,0.81654,0.91045,0.59137,1.22617,0.75518,1.13535,0.00923275,0.00923275,0.00923275
64,835.285,1.25549,0.80354,1.14311,0.88266,0.81137,0.91572,0.60123,1.22628,0.7505,1.15135,0.00922038,0.00922038,0.00922038
65,848.176,1.28687,0.83036,1.17081,0.86743,0.8385,0.90749,0.59567,1.24088,0.75351,1.1518,0.009208,0.009208,0.009208
66,861.051,1.2991,0.84331,1.1825,0.87821,0.84367,0.91281,0.60054,1.20734,0.74246,1.14593,0.00919562,0.00919562,0.00919562
67,873.78,1.2807,0.8236,1.16077,0.87795,0.83333,0.91385,0.59723,1.24431,0.73309,1.15943,0.00918325,0.00918325,0.00918325
68,886.757,1.24978,0.7823,1.12823,0.89076,0.84279,0.91807,0.61365,1.19416,0.71573,1.11818,0.00917088,0.00917088,0.00917088
