epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4596,1.58154,2.418,1.28878,0.75517,0.70672,0.76874,0.41327,1.42834,1.26478,1.18836,0.0033156,0.0033156,0.0033156
2,42.6291,1.49384,1.38048,1.23232,0.71061,0.67571,0.72176,0.37254,1.5363,1.32915,1.35293,0.00664071,0.00664071,0.00664071
3,56.7815,1.68369,1.62313,1.34283,0.28376,0.30749,0.21876,0.09298,1.831,4.65199,1.48834,0.00995756,0.00995756,0.00995756
4,69.7023,1.77327,1.747,1.37832,0.58426,0.5801,0.56265,0.26985,1.76392,2.40534,1.47636,0.00996287,0.00996287,0.00996287
5,83.543,1.76565,1.72622,1.41788,0.53303,0.46897,0.4701,0.22435,1.72334,3.39601,1.48084,0.0099505,0.0099505,0.0099505
6,97.362,1.72191,1.59742,1.38794,0.61421,0.56977,0.60831,0.31826,1.57948,1.94549,1.37074,0.00993813,0.00993813,0.00993813
7,110.973,1.71585,1.52152,1.39516,0.6182,0.55943,0.61377,0.28734,1.83164,1.53891,1.52733,0.00992575,0.00992575,0.00992575
8,124.47,1.68648,1.46165,1.38861,0.5842,0.60465,0.58702,0.30154,1.64996,1.85066,1.4514,0.00991338,0.00991338,0.00991338
9,137.191,1.66759,1.43872,1.3658,0.70642,0.66279,0.70524,0.37637,1.53194,1.3113,1.34021,0.009901,0.009901,0.009901
10,150.039,1.6236,1.47629,1.34858,0.61034,0.62532,0.64238,0.3369,1.5939,1.55093,1.39752,0.00988862,0.00988862,0.00988862
11,163.025,1.66842,1.40156,1.37986,0.64377,0.56718,0.62533,0.32774,1.57357,1.41891,1.38384,0.00987625,0.00987625,0.00987625
12,175.882,1.60553,1.36344,1.34799,0.72082,0.67054,0.72647,0.39339,1.51945,1.30383,1.35776,0.00986387,0.00986387,0.00986387
13,189.613,1.56694,1.29614,1.3364,0.7171,0.71964,0.77958,0.44009,1.42639,1.20954,1.33594,0.0098515,0.0098515,0.0098515
14,203.146,1.55944,1.19389,1.30372,0.75372,0.68217,0.76114,0.43007,1.49708,1.20715,1.32586,0.00983913,0.00983913,0.00983913
15,216.146,1.5486,1.17213,1.30987,0.78578,0.71964,0.79263,0.44667,1.44629,1.07803,1.27883,0.00982675,0.00982675,0.00982675
16,229.462,1.55332,1.20665,1.33603,0.7772,0.7093,0.78891,0.45514,1.43796,1.10081,1.31685,0.00981438,0.00981438,0.00981438
17,242.451,1.49611,1.14278,1.2811,0.77274,0.71318,0.78291,0.46374,1.37873,1.10704,1.2779,0.009802,0.009802,0.009802
18,256.063,1.49939,1.10005,1.28483,0.81404,0.70696,0.80727,0.47879,1.40119,1.05112,1.26277,0.00978962,0.00978962,0.00978962
19,269.472,1.47225,1.10544,1.26062,0.81368,0.73351,0.8211,0.48656,1.4024,1.03553,1.25345,0.00977725,0.00977725,0.00977725
20,283.337,1.50734,1.17361,1.27219,0.7596,0.70284,0.76488,0.44414,1.43579,1.22212,1.29575,0.00976487,0.00976487,0.00976487
21,296.192,1.42327,1.03792,1.23599,0.84605,0.74555,0.84836,0.4993,1.38585,0.97122,1.22953,0.0097525,0.0097525,0.0097525
22,309.578,1.41673,1.00889,1.23286,0.78972,0.77778,0.84367,0.50371,1.4106,0.9903,1.28826,0.00974013,0.00974013,0.00974013
23,323.217,1.42745,1.08132,1.24939,0.80905,0.73773,0.83026,0.48471,1.36649,0.99213,1.23905,0.00972775,0.00972775,0.00972775
24,336.303,1.43771,1.04763,1.25549,0.79885,0.7132,0.79587,0.47643,1.38206,1.01643,1.28721,0.00971538,0.00971538,0.00971538
25,349.592,1.39354,0.98847,1.233,0.81955,0.75108,0.84754,0.51626,1.33646,0.99147,1.23477,0.009703,0.009703,0.009703
26,362.874,1.38039,1.00896,1.22374,0.80707,0.76227,0.84187,0.50634,1.32669,0.98713,1.25154,0.00969063,0.00969063,0.00969063
27,375.585,1.39882,0.98821,1.25013,0.814,0.79158,0.85637,0.50978,1.357,0.90444,1.26224,0.00967825,0.00967825,0.00967825
28,388.48,1.39305,0.97981,1.23373,0.76914,0.75758,0.82647,0.48708,1.4184,0.98337,1.31353,0.00966588,0.00966588,0.00966588
29,401.408,1.36448,0.94905,1.21386,0.83605,0.82171,0.88827,0.56148,1.27392,0.84063,1.19112,0.0096535,0.0096535,0.0096535
30,414.463,1.3409,0.92671,1.20589,0.87046,0.7584,0.86605,0.54283,1.29814,0.88481,1.24409,0.00964113,0.00964113,0.00964113
31,427.22,1.34789,0.9661,1.21284,0.84386,0.78901,0.87402,0.5316,1.39411,0.85575,1.28079,0.00962875,0.00962875,0.00962875
32,440.727,1.35939,0.98294,1.19846,0.83972,0.7739,0.86104,0.52963,1.33604,0.9053,1.22458,0.00961637,0.00961637,0.00961637
