epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5773,1.65194,2.40861,1.41088,0.32103,0.38889,0.29554,0.12864,1.8024,2.25439,1.67317,0.000663121,0.000663121,0.000663121
2,40.4003,1.77068,1.72095,1.46949,0.30126,0.4832,0.23942,0.11004,nan,nan,nan,0.00131662,0.00131662,0.00131662
3,54.5802,1.85111,1.79752,1.54242,0.32305,0.51853,0.26834,0.12055,1.69799,2.77067,1.55917,0.00195692,0.00195692,0.00195692
4,67.6353,1.82603,1.696,1.5073,0.35315,0.5323,0.32872,0.15073,1.77481,1.86298,1.54908,0.0019406,0.0019406,0.0019406
5,80.8039,1.70717,1.66606,1.44002,0.56202,0.59684,0.54928,0.24222,1.85591,1.58697,1.59859,0.0019208,0.0019208,0.0019208
6,94.1526,1.64494,1.52986,1.39725,0.64248,0.5642,0.5999,0.29494,1.65212,1.85542,1.4691,0.001901,0.001901,0.001901
7,107.911,1.63118,1.39521,1.3781,0.60061,0.64212,0.60346,0.30808,1.62975,1.49688,1.51014,0.0018812,0.0018812,0.0018812
8,121.318,1.58098,1.35448,1.36005,0.65114,0.66075,0.67338,0.33472,1.62974,1.36136,1.48714,0.0018614,0.0018614,0.0018614
9,134.571,1.60104,1.33406,1.3845,0.69994,0.65399,0.708,0.38498,1.49957,1.32767,1.42018,0.0018416,0.0018416,0.0018416
10,147.764,1.56048,1.38752,1.35611,0.69835,0.67298,0.71884,0.39372,1.49401,1.26001,1.37664,0.0018218,0.0018218,0.0018218
11,161.092,1.56714,1.2802,1.33994,0.68431,0.62016,0.67659,0.34981,1.62029,1.33985,1.43913,0.001802,0.001802,0.001802
12,174.22,1.51138,1.24017,1.31116,0.6315,0.68636,0.6894,0.37381,1.51371,1.38493,1.36802,0.0017822,0.0017822,0.0017822
13,187.557,1.49602,1.20441,1.30058,0.75735,0.71835,0.76811,0.43283,1.46539,1.17058,1.33199,0.0017624,0.0017624,0.0017624
14,200.794,1.48154,1.12159,1.28244,0.68664,0.72739,0.72359,0.4079,1.43361,1.1876,1.3311,0.0017426,0.0017426,0.0017426
15,213.924,1.47775,1.10462,1.29778,0.78824,0.74542,0.82394,0.50388,1.36859,1.01786,1.27853,0.0017228,0.0017228,0.0017228
16,226.975,1.49605,1.14021,1.31696,0.82507,0.71906,0.82694,0.49272,1.364,1.0267,1.28144,0.001703,0.001703,0.001703
17,240.229,1.44173,1.04282,1.26822,0.75038,0.72739,0.77638,0.431,1.46044,1.08894,1.393,0.0016832,0.0016832,0.0016832
